aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9855,0.5166021540641784,10.659577131271362,0.95015,0.6905300001780192
0.0,2,0.99,0.4882040044784546,10.75739049911499,0.9895166666666667,0.4958649069627126
0.0,3,0.9897,0.476144872379303,10.559986114501953,0.9949833333333333,0.46733744786580406
0.0,4,0.9896,0.4710970090866089,10.669608354568481,0.99715,0.4521433613459269
0.0,5,0.9904,0.4624940699577332,10.443580150604248,0.99795,0.44407148838043214
0.0,6,0.9914,0.4586411171913147,10.580840349197388,0.99835,0.44003773754437764
0.0,7,0.9902,0.4610124173164368,10.43827223777771,0.9985666666666667,0.43700411047935483
0.0,8,0.9892,0.46374586629867554,10.515639781951904,0.99855,0.4370395518143972
0.0,9,0.991,0.456125084400177,10.487390041351318,0.9986,0.43910420880317685
0.0,10,0.9903,0.4545943633079529,10.55721378326416,0.9989166666666667,0.43483237277666725
0.0,11,0.9906,0.45502752351760867,10.125568866729736,0.9991333333333333,0.4342202810446421
0.0,12,0.9908,0.4551521954536438,10.126656293869019,0.9992,0.43337997347513835
0.0,13,0.9897,0.4559865234375,10.48017930984497,0.9991333333333333,0.4340281654834747
0.0,14,0.9889,0.4543336929321289,10.410409927368164,0.9993333333333333,0.4325261932849884
0.0,15,0.9858,0.47098611674308777,10.632136821746826,0.99925,0.43274174938201904
0.0,16,0.9864,0.4641210000991821,10.505327701568604,0.9982833333333333,0.44068381633758547
0.0,17,0.99,0.4515663760185242,10.70857286453247,0.9992666666666666,0.4331722238381704
0.0,18,0.9907,0.449989520740509,10.53733777999878,0.99955,0.43056003673871357
0.0,19,0.9907,0.4495296401500702,10.479611873626709,0.9996166666666667,0.4296862084706624
0.0,20,0.9898,0.4510522758483887,10.504671573638916,0.9996,0.42973866494496665
