aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.94,0.6971762748718262,26.082805633544922,0.83545,1.0149316529273986
0.0,2,0.9587,0.6067711042404175,25.677922010421753,0.9601666666666666,0.6288129513104757
0.0,3,0.962,0.5785978143692017,25.823652982711792,0.98205,0.545531680838267
0.0,4,0.9621,0.5578916975975037,25.862200260162354,0.9925833333333334,0.4999402396361033
0.0,5,0.9661,0.538626394367218,25.550047874450684,0.9971166666666667,0.47577068123817445
0.0,6,0.964,0.5368653984069824,25.8902006149292,0.9986666666666667,0.46250011951128644
0.0,7,0.9631,0.5358855155467988,25.96577000617981,0.9992333333333333,0.4569036356608073
0.0,8,0.9429,0.5927645404815673,25.727296829223633,0.99725,0.4623777817408244
0.0,9,0.9574,0.5443999442100524,25.277685165405273,0.9962833333333333,0.46784674626986184
0.0,10,0.9643,0.5228677416801453,25.46111488342285,0.9994833333333333,0.44985823063850405
0.0,11,0.9646,0.5180135089874267,25.656418085098267,0.9996166666666667,0.44526745533943174
0.0,12,0.9654,0.517373922586441,25.46659541130066,0.9997,0.442029239209493
0.0,13,0.9448,0.57462767329216,25.283380270004272,0.9911,0.46937031358083087
0.0,14,0.9604,0.5301233953475952,25.713503122329712,0.9958833333333333,0.46223206667900085
0.0,15,0.9639,0.5235405074596405,25.350709676742554,0.9996,0.44497232823371885
0.0,16,0.9637,0.5183891597270965,25.333717346191406,0.99975,0.44154819145202634
0.0,17,0.9621,0.5210858586788177,25.185929775238037,0.9997666666666667,0.4398042512734731
0.0,18,0.9622,0.5215204523086547,25.264223337173462,0.9997666666666667,0.4383649168809255
0.0,19,0.957,0.5329154790878295,25.450233697891235,0.9997666666666667,0.43716860769589744
0.0,20,0.9561,0.5409328854084015,26.024696588516235,0.99075,0.4705807359695435
